"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"QC9"	"p9t4"	"p9t3"	"p9t6"	"p9t5"	"p9t2"	"p1t2"	"K22"	"K21"	"K20"	"K25"	"K24"	"K23"	"p6t5"	"Blank2"	"p6t4"	"Blank3"	"p6t3"	"p6t2"	"Blank1"	"p7t3"	"p6t1"	"p7t4"	"p7t2"	"p7t5"	"p7t6"	"p6t7"	"p6t6"	"QC24"	"QC25"	"QC26"	"QC20"	"p8t6"	"QC21"	"p8t7"	"QC22"	"p8t4"	"QC23"	"p8t5"	"p8t2"	"p8t3"	"K1"	"K2"	"K9"	"p4t3"	"p4t2"	"K7"	"K8"	"p4t6"	"K3"	"p4t5"	"K4"	"p4t4"	"QC11"	"Blank4"	"p2t4"	"QC12"	"p2t5"	"p2t2"	"p3t6"	"QC10"	"p2t3"	"p3t5"	"QC15"	"p3t4"	"QC16"	"p3t3"	"QC13"	"p2t6"	"p3t2"	"QC14"	"p2t7"	"QC19"	"p5t3"	"p5t4"	"QC17"	"p5t5"	"QC18"	"p5t6"	"p5t2"	"K16"	"K17"	"K18"	"K19"	"p1t7"	"p1t6"	"p1t5"	"p1t4"	"p1t3"	"K13"	"K12"	"K15"	"K14"	"K11"	"K10"
"CHEBI:16027"	"C10H14N5O7P"	"Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O"	"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"	"AMP"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"78948.5785"	"65243.922"	"30847.9135"	"96968.792"	"25001.2505"	"45790.4265"	"488500.853"	"9167.563"	"26586.869"	"36735.474"	"17968.1165"	"26470.815"	"43207.23053"	"37154.356"	"18979.7485"	"29461.926"	"8652.4705"	"35506.7775"	"221255.257"	"23368.8"	"23310.7155"	"229034.4765"	"36561.78259"	"16825.97822"	"67294.7705"	"36821.559"	"33670.301"	"52510.9255"	"96907.62"	"83710.8615"	"81743.9375"	"84442.322"	"80230.17"	"91259.84357"	"84017.027"	"79044.1645"	"178065.8339"	"85257.703"	"15050.48629"	"23109.15041"	"46377.231"	"129692.0415"	"109964.2625"	"26256.72921"	"21177.134"	"73715.004"	"56806.4685"	"26504.45583"	"19867.18257"	"41206.611"	"63986.3005"	"29390.251"	"59083.988"	"93303.8015"	"12717.385"	"61396.765"	"82496.82"	"54937.17482"	"67987.1375"	"50947.8145"	"71779.764"	"24094.14358"	"29388.6125"	"97710.733"	"104776.1675"	"94825.558"	"33318.377"	"83864.728"	"13523.747"	"39238.7805"	"94719.1835"	"17725.838"	"87465.59"	"34942.204"	"19253.278"	"100271.786"	"44337.172"	"94020.2625"	"40049.5365"	"608548.074"	"31058.033"	"15417.145"	"32725.82114"	"87951.7845"	"21597.66421"	"32306.082"	"65504.9635"	"63568.108"	"92490.895"	"24423.6765"	"53006.858"	"40317.695"	"40856.0785"	"55765.5545"	"52711.416"
"CHEBI:422"	"C3H6O3"	"C[C@H](O)C(O)=O"	"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m0/s1"	"(S)-Lactate"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"1.084880692E7"	"279287.8855"	"740950.16"	"198316.9945"	"593197.4015"	"2.202062721E7"	"1.265552871E7"	"264555.453"	"349987.1124"	"203085.1535"	"331056.8911"	"463778.7506"	"275264.816"	"117352.5418"	"45994.13046"	"186441.707"	"13416.62"	"475420.175"	"1.794140327E7"	"9252.246"	"692402.642"	"2.659675827E7"	"386014.6958"	"8046292.684"	"276883.3493"	"248755.647"	"574761.238"	"179427.3863"	"1.093787724E7"	"8762565.73"	"7963126.888"	"8450046.034"	"402367.783"	"9634411.865"	"345659.3137"	"9161577.99"	"1484874.022"	"9158855.518"	"225972.4203"	"1459413.585"	"801905.0978"	"560297.0394"	"1074698.157"	"276540.1815"	"1306599.979"	"2.12174185E7"	"582430.0275"	"432255.9659"	"158350.446"	"372353.8541"	"143352.819"	"425891.891"	"287081.0175"	"1.046638225E7"	"27367.7335"	"707660.7851"	"1.054317925E7"	"1007671.074"	"4.564288392E7"	"491967.3617"	"1.101556702E7"	"6073425.213"	"231780.908"	"1.104332218E7"	"333681.747"	"9485053.945"	"905589.2612"	"1.104362444E7"	"238689.6982"	"1.031156708E8"	"1.044250573E7"	"234678.9028"	"1.136767109E7"	"3401482.173"	"3227015.317"	"1.027637012E7"	"481394.5777"	"9708483.589"	"962698.2725"	"1.150835526E8"	"398201.336"	"228780.4233"	"276490.7359"	"307855.701"	"125882.1354"	"242107.2013"	"316641"	"179152.327"	"205024.117"	"368866.8438"	"325064.522"	"348965.4973"	"380445.678"	"590087.9735"	"371134.147"
"CHEBI:16988"	"C5H10O5"	""	""	"D-Ribose"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"1319124.939"	"1010661.867"	"587223.5935"	"1106595.997"	"1254490.663"	"1026173.027"	"767831.4841"	"632856.0397"	"561988.074"	"265960.0455"	"421356.2535"	"429473.6065"	"480748.1756"	"547131.9924"	"2072.484"	"472015.2017"	"784.351"	"514998.5035"	"443933.348"	"4486.867"	"812450.1093"	"353083.0135"	"618837.75"	"640448.9384"	"577317.9445"	"520161.2821"	"523289.0765"	"430069.9047"	"928890.6768"	"790486.1814"	"772587.7479"	"694221.1065"	"2560932.521"	"807221.2719"	"3195742.834"	"765924.6596"	"1884075.953"	"796679.869"	"150200.807"	"516094.5897"	"1049122.284"	"780635.761"	"413362.986"	"424216.392"	"852190.9224"	"888558.4436"	"645987.0979"	"657089.3706"	"412178.1535"	"432536.842"	"707291.8415"	"434444.6135"	"725826.0682"	"1082475.284"	"5571.365"	"416436.5695"	"981853.3814"	"368396.771"	"341921.826"	"646695.522"	"1333890.636"	"451995.6097"	"427075.3081"	"920895.5601"	"199529.036"	"940466.3873"	"292657.8205"	"886679.3256"	"657534.5755"	"319012.28"	"867917.2403"	"861110.809"	"871205.6514"	"414840.7699"	"392156.5443"	"869682.812"	"495094.927"	"889304.1395"	"515591.7661"	"395605.2371"	"372090.7505"	"278490.683"	"413706.7987"	"220259.646"	"519640.8502"	"603862.962"	"323621.149"	"396537.6635"	"272976.97"	"319855.5295"	"346772.6837"	"535477.1997"	"448489.1395"	"442514.5735"	"439875.0535"
"CHEBI:17724"	"C4H9NO2"	"CN(C)CC(O)=O"	"InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)"	"N,N-Dimethylglycine"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"2.115989215E7"	"3.403487082E7"	"2.098645731E7"	"1.158090822E7"	"2.319923681E7"	"1.546830067E7"	"1.170407679E7"	"1.129647512E7"	"2.301558782E7"	"1.090327252E7"	"1.070704217E7"	"9901891.159"	"1.289253331E7"	"2.124227415E7"	"345096.585"	"2.179941286E7"	"229262.793"	"2.283342297E7"	"2.799334956E7"	"226535.4985"	"1.72764824E7"	"1.271491791E7"	"1.301082513E7"	"6485089.219"	"1.176490316E7"	"4688453.741"	"3.122034805E7"	"1.448497808E7"	"2.369853026E7"	"2.294630592E7"	"2.170919473E7"	"2.605597886E7"	"5911636.481"	"2.745709843E7"	"2.968932824E7"	"2.060131701E7"	"1.172096853E7"	"2.168201875E7"	"1950121.875"	"1.279554222E7"	"1.429898562E7"	"1.557103274E7"	"1.792391203E7"	"1.470667153E7"	"2.411437506E7"	"1.299267365E7"	"2.11618255E7"	"1.789261819E7"	"8057805.427"	"1.636606735E7"	"2.25916666E7"	"1.114814254E7"	"2.008183183E7"	"2.077823426E7"	"210284.725"	"24378139"	"21244019"	"1.396246823E7"	"3.437210153E7"	"1.564501659E7"	"2.102347434E7"	"2.031318216E7"	"1.685898254E7"	"2.133183669E7"	"1.189966621E7"	"2.166689033E7"	"1.264342726E7"	"2.129777124E7"	"1.346404314E7"	"1.156303159E7"	"2.083682398E7"	"2.253763377E7"	"2.179919049E7"	"1.118763072E7"	"1.033023734E7"	"2.183880214E7"	"1.13651983E7"	"2.160156776E7"	"9674812.009"	"1.30631915E7"	"1.725132264E7"	"5688501.076"	"1.826559668E7"	"9687743.524"	"2.152826364E7"	"1.014625006E7"	"7197497.64"	"1.563847198E7"	"1.327278205E7"	"1.851346736E7"	"1.547985545E7"	"2.010927294E7"	"1.395043647E7"	"2.072484609E7"	"12080707"
"CHEBI:27971"	"C4H9NO2"	"CC(C)(N)C(O)=O"	"InChI=1S/C4H9NO2/c1-4(2,5)3(6)7/h5H2,1-2H3,(H,6,7)"	"2-Amino-2-methylpropanoate"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"2.115989215E7"	"3.403487082E7"	"2.098645731E7"	"1.158090822E7"	"2.319923681E7"	"1.546830067E7"	"1.170407679E7"	"1.129647512E7"	"2.301558782E7"	"1.090327252E7"	"1.070704217E7"	"9901891.159"	"1.289253331E7"	"2.124227415E7"	"345096.585"	"2.179941286E7"	"229262.793"	"2.283342297E7"	"2.799334956E7"	"226535.4985"	"1.72764824E7"	"1.271491791E7"	"1.301082513E7"	"6485089.219"	"1.176490316E7"	"4688453.741"	"3.122034805E7"	"1.448497808E7"	"2.369853026E7"	"2.294630592E7"	"2.170919473E7"	"2.605597886E7"	"5911636.481"	"2.745709843E7"	"2.968932824E7"	"2.060131701E7"	"1.172096853E7"	"2.168201875E7"	"1950121.875"	"1.279554222E7"	"1.429898562E7"	"1.557103274E7"	"1.792391203E7"	"1.470667153E7"	"2.411437506E7"	"1.299267365E7"	"2.11618255E7"	"1.789261819E7"	"8057805.427"	"1.636606735E7"	"2.25916666E7"	"1.114814254E7"	"2.008183183E7"	"2.077823426E7"	"210284.725"	"24378139"	"21244019"	"1.396246823E7"	"3.437210153E7"	"1.564501659E7"	"2.102347434E7"	"2.031318216E7"	"1.685898254E7"	"2.133183669E7"	"1.189966621E7"	"2.166689033E7"	"1.264342726E7"	"2.129777124E7"	"1.346404314E7"	"1.156303159E7"	"2.083682398E7"	"2.253763377E7"	"2.179919049E7"	"1.118763072E7"	"1.033023734E7"	"2.183880214E7"	"1.13651983E7"	"2.160156776E7"	"9674812.009"	"1.30631915E7"	"1.725132264E7"	"5688501.076"	"1.826559668E7"	"9687743.524"	"2.152826364E7"	"1.014625006E7"	"7197497.64"	"1.563847198E7"	"1.327278205E7"	"1.851346736E7"	"1.547985545E7"	"2.010927294E7"	"1.395043647E7"	"2.072484609E7"	"12080707"
"CHEBI:50129"	"C4H8O3"	"CC(C)(O)C(O)=O"	"InChI=1S/C4H8O3/c1-4(2,7)3(5)6/h7H,1-2H3,(H,5,6)"	"Alpha-Hydroxyisobutyric acid"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"738760.045"	"40406.44594"	"52908.2005"	"24285.98443"	"62163.149"	"728070.978"	"341855.6005"	"15180.063"	"29880.457"	"15165.8485"	"22247.429"	"15086.83"	"17893.1505"	"14219.15166"	"12179.72201"	"18794.76611"	"7303.514228"	"41123.1565"	"726536.1639"	"12594.78586"	"89892.50458"	"343160.5916"	"36192.28946"	"305889.127"	"36628.94438"	"18417.082"	"79705.99"	"18591.04346"	"460397.5896"	"385843.4599"	"388062.9083"	"372789.7276"	"72797.9845"	"451550.6569"	"30446.565"	"474098.283"	"124339.4136"	"425526.445"	"12432.48898"	"46952.7865"	"144319.37"	"55493.9265"	"118808.9945"	"29711.05193"	"77736.101"	"395845.8907"	"61710.985"	"38579.62412"	"9273.263224"	"15409.7355"	"24762.165"	"19647.293"	"11697.614"	"733964.609"	"8886.550465"	"57498.231"	"689913.495"	"55456.58192"	"3443022.724"	"45347.1785"	"769159.308"	"329637.7098"	"26056.14808"	"652071.074"	"34750.68848"	"593370.8467"	"90697.316"	"707723.2227"	"40440.028"	"1.200225863E7"	"628583.8972"	"19460.0745"	"481798.2153"	"193473.826"	"214258.081"	"605523.1498"	"28367.28308"	"534057.8997"	"60610.03686"	"7015035.105"	"14741.3197"	"27246.2295"	"19480.154"	"12438.39672"	"13213.1915"	"20075.62485"	"17357.75552"	"9016.097"	"9177.172"	"45116.94"	"39446.6595"	"55597.424"	"7715.098611"	"95236.6555"	"22059.121"
"CHEBI:1148"	"C4H8O3"	"CCC(O)C(O)=O"	"InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)"	"2-Hydroxybutanoate"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"738760.045"	"40406.44594"	"52908.2005"	"24285.98443"	"62163.149"	"728070.978"	"341855.6005"	"15180.063"	"29880.457"	"15165.8485"	"22247.429"	"15086.83"	"17893.1505"	"14219.15166"	"12179.72201"	"18794.76611"	"7303.514228"	"41123.1565"	"726536.1639"	"12594.78586"	"89892.50458"	"343160.5916"	"36192.28946"	"305889.127"	"36628.94438"	"18417.082"	"79705.99"	"18591.04346"	"460397.5896"	"385843.4599"	"388062.9083"	"372789.7276"	"72797.9845"	"451550.6569"	"30446.565"	"474098.283"	"124339.4136"	"425526.445"	"12432.48898"	"46952.7865"	"144319.37"	"55493.9265"	"118808.9945"	"29711.05193"	"77736.101"	"395845.8907"	"61710.985"	"38579.62412"	"9273.263224"	"15409.7355"	"24762.165"	"19647.293"	"11697.614"	"733964.609"	"8886.550465"	"57498.231"	"689913.495"	"55456.58192"	"3443022.724"	"45347.1785"	"769159.308"	"329637.7098"	"26056.14808"	"652071.074"	"34750.68848"	"593370.8467"	"90697.316"	"707723.2227"	"40440.028"	"1.200225863E7"	"628583.8972"	"19460.0745"	"481798.2153"	"193473.826"	"214258.081"	"605523.1498"	"28367.28308"	"534057.8997"	"60610.03686"	"7015035.105"	"14741.3197"	"27246.2295"	"19480.154"	"12438.39672"	"13213.1915"	"20075.62485"	"17357.75552"	"9016.097"	"9177.172"	"45116.94"	"39446.6595"	"55597.424"	"7715.098611"	"95236.6555"	"22059.121"
"CHEBI:30830"	"C4H8O3"	"OCCCC(O)=O"	"InChI=1S/C4H8O3/c5-3-1-2-4(6)7/h5H,1-3H2,(H,6,7)"	"4-Hydroxybutyric acid"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"738760.045"	"40406.44594"	"52908.2005"	"24285.98443"	"62163.149"	"728070.978"	"341855.6005"	"15180.063"	"29880.457"	"15165.8485"	"22247.429"	"15086.83"	"17893.1505"	"14219.15166"	"12179.72201"	"18794.76611"	"7303.514228"	"41123.1565"	"726536.1639"	"12594.78586"	"89892.50458"	"343160.5916"	"36192.28946"	"305889.127"	"36628.94438"	"18417.082"	"79705.99"	"18591.04346"	"460397.5896"	"385843.4599"	"388062.9083"	"372789.7276"	"72797.9845"	"451550.6569"	"30446.565"	"474098.283"	"124339.4136"	"425526.445"	"12432.48898"	"46952.7865"	"144319.37"	"55493.9265"	"118808.9945"	"29711.05193"	"77736.101"	"395845.8907"	"61710.985"	"38579.62412"	"9273.263224"	"15409.7355"	"24762.165"	"19647.293"	"11697.614"	"733964.609"	"8886.550465"	"57498.231"	"689913.495"	"55456.58192"	"3443022.724"	"45347.1785"	"769159.308"	"329637.7098"	"26056.14808"	"652071.074"	"34750.68848"	"593370.8467"	"90697.316"	"707723.2227"	"40440.028"	"1.200225863E7"	"628583.8972"	"19460.0745"	"481798.2153"	"193473.826"	"214258.081"	"605523.1498"	"28367.28308"	"534057.8997"	"60610.03686"	"7015035.105"	"14741.3197"	"27246.2295"	"19480.154"	"12438.39672"	"13213.1915"	"20075.62485"	"17357.75552"	"9016.097"	"9177.172"	"45116.94"	"39446.6595"	"55597.424"	"7715.098611"	"95236.6555"	"22059.121"
"CHEBI:33984"	"C6H12O5"	"CC1C(C(C(C(O1)O)O)O)O"	"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2?,3-,4+,5?,6?/m1/s1"	"Fucose"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"1284687.732"	"307206.6805"	"257328.1295"	"115862.3615"	"147790.2117"	"193062.3237"	"850850.3671"	"592318.899"	"1278366.566"	"149623.2262"	"338750.2135"	"273762.433"	"1049038.845"	"343145.591"	"3886.1065"	"519525.898"	"10495.915"	"440599.429"	"943713.0065"	"3197.522"	"3257791.719"	"634517.1685"	"668562.2927"	"1146982.071"	"298411.8485"	"103214.3695"	"684159.0695"	"275884.9285"	"851226.9865"	"880099.236"	"806236.969"	"786106.287"	"414316.7805"	"751341.6855"	"135250.8966"	"789771.291"	"534820.3496"	"848354.018"	"52884.63237"	"975027.7775"	"1376544.134"	"374509.5507"	"489868.439"	"598629.679"	"275126.8651"	"341312.8398"	"1973572.959"	"1625307.257"	"90516.652"	"481598.6145"	"219427.811"	"593443.3796"	"110849.772"	"1133428.934"	"6324.433191"	"974829.201"	"995053.269"	"422510.0749"	"1408493.871"	"141955.8494"	"1267501.723"	"1083826.77"	"64575.353"	"942371.4215"	"142103.683"	"864381.1685"	"134652.9819"	"994223.281"	"581906.1366"	"1105396.188"	"833992.517"	"341305.9365"	"907013.2645"	"238629.322"	"423167.752"	"853687.798"	"657000.87"	"828628.7485"	"887090.5635"	"944524.7999"	"407353.2365"	"188272.07"	"653671.8045"	"966879.033"	"730591.92"	"153564.7232"	"73396.93779"	"355496.4095"	"415762.1415"	"728016.918"	"848796.1065"	"564936.2745"	"267746.7613"	"1123199.182"	"452840.5195"
"CHEBI:18344"	"C10H7NO3"	"OC(=O)c1cc(O)c2ccccc2n1"	"InChI=1S/C10H7NO3/c12-9-5-8(10(13)14)11-7-4-2-1-3-6(7)9/h1-5H,(H,11,12)(H,13,14)"	"4-Hydroxyquinoline-2-carboxylate"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"4177244.587"	"1069516.221"	"877999.6153"	"3108450.173"	"2043161.325"	"4300065.612"	"3320605.621"	"1318545.969"	"2055817.914"	"883132.6769"	"2463728.33"	"1859942.86"	"928952.4434"	"1526998.539"	"7756.667878"	"1722013.94"	"7564.815494"	"2755242.74"	"3551580.665"	"8713.60262"	"2796655.034"	"2525314.232"	"963134.5813"	"4339025.386"	"946328.7909"	"939325.5493"	"581613.9408"	"2706004.055"	"2410086.404"	"2197556.602"	"1992476.752"	"1912007.054"	"2749212.871"	"2323629.325"	"1140736.849"	"2011261.109"	"2703087.358"	"1822920.938"	"234659.9425"	"2521519.78"	"2491195.136"	"3225076.856"	"1456512.035"	"1305501.123"	"1644135.52"	"1746716.307"	"1709797.226"	"1128992.533"	"968361.6035"	"1695889.802"	"946834.5055"	"2112387.651"	"2373347.09"	"3716105.693"	"5752.104576"	"2953658.623"	"3475318.391"	"1532803.391"	"459193.5385"	"3244664.446"	"4460345.121"	"1287599.25"	"1103636.467"	"3476442.619"	"907565.9985"	"3173584.721"	"1612337.279"	"3884509.955"	"1765427.596"	"1184351.929"	"3173803.947"	"1381138.277"	"2634715.385"	"996948.4475"	"699886.3131"	"2854629.264"	"1021293.193"	"2507982.952"	"1344898.408"	"1111295.69"	"1877681.88"	"2418297.125"	"1160440.457"	"1191836.598"	"435091.9747"	"1859506.651"	"1753420.56"	"1837400.623"	"1014499.225"	"1937516.65"	"1069124.34"	"1905814.711"	"1712935.081"	"1434511.972"	"2536831.825"
"CHEBI:28053"	"C12H22O11"	"OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O"	"InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4-,5+,6-,7+,8+,9-,10-,11?,12+/m1/s1"	"Melibiose"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"3601700.455"	"6489737.894"	"3009198.904"	"3657789.937"	"6788159.025"	"1000367.875"	"1088532.932"	"458843.07"	"442698.1736"	"437240.6876"	"429761.4693"	"657893.2127"	"443088.3054"	"6300481.471"	"328314.7029"	"4850664.072"	"269127.2266"	"4904770.28"	"1123590.13"	"147733.0335"	"3855542.68"	"332345.7075"	"3292233.682"	"1069506.632"	"4493106.127"	"2672636.121"	"1911378.356"	"3984066.558"	"2519367.592"	"1809189.651"	"1825628.527"	"1823057.774"	"3906609.836"	"2269291.114"	"5595299.507"	"2111505.706"	"4092941.669"	"1948863.687"	"644355.2419"	"629618.9345"	"5215636.492"	"507199.5335"	"721306.342"	"491412.6215"	"3975914.537"	"684523.861"	"587074.8638"	"903476.4"	"1745286.11"	"264308.9724"	"2967193.255"	"513677.9665"	"5018523.312"	"3273982.313"	"295309.7982"	"4450782.439"	"2886396.988"	"2007715.74"	"876331.437"	"3677502.588"	"3557265.61"	"2421399.456"	"1880001.487"	"2819690.086"	"1462625.023"	"2641640.62"	"1593861.582"	"2929398.779"	"3713184.934"	"1095858.154"	"2516877.235"	"665501.4533"	"2805755.414"	"3099377.929"	"2737268.612"	"2594364.695"	"2877160.929"	"2493180.162"	"3336649.965"	"760372.3258"	"613154.1252"	"342484.4644"	"782243.921"	"792160.0307"	"766372.7934"	"2942525.051"	"2328047.992"	"4521542.207"	"2232634.127"	"664045.1652"	"379215.1736"	"406841.922"	"465812.1797"	"746309.8995"	"433058.9687"
"CHEBI:17992"	"C12H22O11"	"OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O"	"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1"	"Sucrose"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"3601700.455"	"6489737.894"	"3009198.904"	"3657789.937"	"6788159.025"	"1000367.875"	"1088532.932"	"458843.07"	"442698.1736"	"437240.6876"	"429761.4693"	"657893.2127"	"443088.3054"	"6300481.471"	"328314.7029"	"4850664.072"	"269127.2266"	"4904770.28"	"1123590.13"	"147733.0335"	"3855542.68"	"332345.7075"	"3292233.682"	"1069506.632"	"4493106.127"	"2672636.121"	"1911378.356"	"3984066.558"	"2519367.592"	"1809189.651"	"1825628.527"	"1823057.774"	"3906609.836"	"2269291.114"	"5595299.507"	"2111505.706"	"4092941.669"	"1948863.687"	"644355.2419"	"629618.9345"	"5215636.492"	"507199.5335"	"721306.342"	"491412.6215"	"3975914.537"	"684523.861"	"587074.8638"	"903476.4"	"1745286.11"	"264308.9724"	"2967193.255"	"513677.9665"	"5018523.312"	"3273982.313"	"295309.7982"	"4450782.439"	"2886396.988"	"2007715.74"	"876331.437"	"3677502.588"	"3557265.61"	"2421399.456"	"1880001.487"	"2819690.086"	"1462625.023"	"2641640.62"	"1593861.582"	"2929398.779"	"3713184.934"	"1095858.154"	"2516877.235"	"665501.4533"	"2805755.414"	"3099377.929"	"2737268.612"	"2594364.695"	"2877160.929"	"2493180.162"	"3336649.965"	"760372.3258"	"613154.1252"	"342484.4644"	"782243.921"	"792160.0307"	"766372.7934"	"2942525.051"	"2328047.992"	"4521542.207"	"2232634.127"	"664045.1652"	"379215.1736"	"406841.922"	"465812.1797"	"746309.8995"	"433058.9687"
"CHEBI:17716"	"C12H22O11"	"OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O"	"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11?,12+/m1/s1"	"Lactose"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"3601700.455"	"6489737.894"	"3009198.904"	"3657789.937"	"6788159.025"	"1000367.875"	"1088532.932"	"458843.07"	"442698.1736"	"437240.6876"	"429761.4693"	"657893.2127"	"443088.3054"	"6300481.471"	"328314.7029"	"4850664.072"	"269127.2266"	"4904770.28"	"1123590.13"	"147733.0335"	"3855542.68"	"332345.7075"	"3292233.682"	"1069506.632"	"4493106.127"	"2672636.121"	"1911378.356"	"3984066.558"	"2519367.592"	"1809189.651"	"1825628.527"	"1823057.774"	"3906609.836"	"2269291.114"	"5595299.507"	"2111505.706"	"4092941.669"	"1948863.687"	"644355.2419"	"629618.9345"	"5215636.492"	"507199.5335"	"721306.342"	"491412.6215"	"3975914.537"	"684523.861"	"587074.8638"	"903476.4"	"1745286.11"	"264308.9724"	"2967193.255"	"513677.9665"	"5018523.312"	"3273982.313"	"295309.7982"	"4450782.439"	"2886396.988"	"2007715.74"	"876331.437"	"3677502.588"	"3557265.61"	"2421399.456"	"1880001.487"	"2819690.086"	"1462625.023"	"2641640.62"	"1593861.582"	"2929398.779"	"3713184.934"	"1095858.154"	"2516877.235"	"665501.4533"	"2805755.414"	"3099377.929"	"2737268.612"	"2594364.695"	"2877160.929"	"2493180.162"	"3336649.965"	"760372.3258"	"613154.1252"	"342484.4644"	"782243.921"	"792160.0307"	"766372.7934"	"2942525.051"	"2328047.992"	"4521542.207"	"2232634.127"	"664045.1652"	"379215.1736"	"406841.922"	"465812.1797"	"746309.8995"	"433058.9687"
